"Sex";"Age";"Modes of travel";"Travel motives";"Margins";"Periods";"Stages per person per day (average) (number)";"Distance travelled per stage (average) (passenger kilometres)";"Average travel time per stage (Minutes)"
"Total male and female";"30 to 39 years";"Other";"Leisure";"Value";"2019*";"    0.02";"   22.39";"   45.79"
"Total male and female";"30 to 39 years";"Other";"Leisure";"Value";"2020*";"    0.02";"   16.30";"   48.33"
"Total male and female";"30 to 39 years";"Other";"Leisure";"Value";"2021*";"    0.02";"   17.42";"   51.54"
"Total male and female";"30 to 39 years";"Other";"Leisure";"Value";"2022*";"    0.02";"   17.84";"   45.07"
"Total male and female";"30 to 39 years";"Other";"Leisure";"Value";"2023*";"    0.02";"   18.10";"   43.99"
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2018*";"    0.02";"   18.32";"   27.74"
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2019*";"    0.02";"   18.34";"   29.03"
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2021*";"    0.02";"   14.98";"   25.94"
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Other";"Other";"Value";"2023*";"    0.01";"   15.78";"   25.23"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.90";"   17.18";"   25.89"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.88";"   17.41";"   25.84"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.88";"   17.41";"   25.97"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.90";"   17.67";"   26.20"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.94";"   17.70";"   25.97"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.90";"   17.73";"   25.96"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.59";"   16.04";"   24.19"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.57";"   16.61";"   24.86"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.67";"   17.09";"   25.60"
"Total male and female";"40 to 49 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.73";"   17.19";"   26.06"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.71";"    5.15";"   13.31"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.69";"    5.19";"   13.40"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.67";"    5.10";"   13.14"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.67";"    5.30";"   13.27"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.67";"    5.29";"   13.23"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.65";"    5.42";"   13.26"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.65";"    4.38";"   11.69"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.65";"    4.43";"   12.26"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.67";"    4.70";"   12.58"
"Total male and female";"40 to 49 years";"Total";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.67";"    4.99";"   13.02"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2014*";"    0.05";"   15.75";"   23.70"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2015*";"    0.05";"   16.24";"   24.21"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2016*";"    0.05";"   16.29";"   24.46"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2017*";"    0.05";"   16.58";"   24.93"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2018*";"    0.04";"   16.58";"   25.08"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2019*";"    0.04";"   16.34";"   24.98"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2020*";"    0.02";"   18.40";"   26.26"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2021*";"    0.02";"   17.38";"   25.51"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2022*";"    0.03";"   16.83";"   25.84"
"Total male and female";"40 to 49 years";"Total";"Attending education/courses";"Value";"2023*";"    0.03";"   16.87";"   26.38"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2014*";"    1.02";"   13.54";"   31.53"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2015*";"    0.98";"   13.57";"   31.68"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2016*";"    0.97";"   13.48";"   31.54"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2017*";"    0.95";"   13.61";"   31.38"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2018*";"    0.99";"   13.73";"   31.57"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2019*";"    0.98";"   13.73";"   31.40"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2020*";"    0.90";"   10.99";"   34.94"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2021*";"    0.99";"   11.44";"   37.37"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2022*";"    1.06";"   11.54";"   33.65"
"Total male and female";"40 to 49 years";"Total";"Leisure";"Value";"2023*";"    1.07";"   11.92";"   32.38"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2014*";"    0.72";"   11.03";"   18.23"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2015*";"    0.69";"   11.31";"   18.28"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2016*";"    0.67";"   11.21";"   18.17"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2017*";"    0.67";"   11.23";"   18.10"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2018*";"    0.71";"   10.79";"   17.66"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2019*";"    0.72";"   11.05";"   17.89"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2020*";"    0.65";"    9.26";"   16.07"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2021*";"    0.70";"    9.36";"   16.69"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2022*";"    0.74";"    9.34";"   16.87"
"Total male and female";"40 to 49 years";"Total";"Other";"Value";"2023*";"    0.75";"    9.78";"   17.14"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.43";"   24.35";"   30.40"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.43";"   24.61";"   30.38"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.43";"   24.71";"   30.50"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.44";"   24.97";"   30.65"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.45";"   25.30";"   30.60"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.43";"   25.47";"   30.63"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.31";"   22.54";"   27.41"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.30";"   23.28";"   28.12"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.33";"   24.52";"   29.69"
"Total male and female";"40 to 49 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.35";"   24.93";"   30.55"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.31";"    7.23";"   13.80"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.31";"    7.20";"   13.81"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.30";"    7.15";"   13.70"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.30";"    7.37";"   13.77"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.30";"    7.36";"   13.79"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.30";"    7.43";"   13.78"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.30";"    6.45";"   12.13"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.28";"    6.70";"   12.71"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.29";"    7.01";"   13.20"
"Total male and female";"40 to 49 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.29";"    7.21";"   13.58"
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2014*";"    0.02";"   25.09";"   29.40"
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2015*";"    0.02";"   25.18";"   29.79"
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2016*";"    0.02";"   25.54";"   30.27"
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2017*";"    0.02";"   26.03";"   30.74"
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2018*";"    0.02";"   25.99";"   31.02"
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2019*";"    0.01";"   26.29";"   31.36"
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2022*";"    0.01";"   28.03";"   33.01"
"Total male and female";"40 to 49 years";"Car as driver";"Attending education/courses";"Value";"2023*";"    0.01";"   27.79";"   33.63"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2014*";"    0.36";"   20.25";"   27.44"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2015*";"    0.34";"   20.39";"   27.43"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2016*";"    0.34";"   20.34";"   27.33"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2017*";"    0.34";"   20.38";"   27.21"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2018*";"    0.34";"   20.97";"   27.33"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2019*";"    0.34";"   20.98";"   27.31"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2020*";"    0.27";"   19.36";"   27.30"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2021*";"    0.27";"   20.89";"   29.17"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2022*";"    0.31";"   20.22";"   27.74"
"Total male and female";"40 to 49 years";"Car as driver";"Leisure";"Value";"2023*";"    0.32";"   20.06";"   27.06"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2014*";"    0.39";"   14.85";"   20.99"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2015*";"    0.37";"   14.96";"   20.90"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2016*";"    0.36";"   14.93";"   20.79"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2017*";"    0.36";"   14.99";"   20.73"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2018*";"    0.37";"   14.87";"   20.55"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2019*";"    0.39";"   15.17";"   20.68"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2020*";"    0.34";"   12.88";"   18.47"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2021*";"    0.37";"   13.22";"   19.16"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2022*";"    0.38";"   13.44";"   19.68"
"Total male and female";"40 to 49 years";"Car as driver";"Other";"Value";"2023*";"    0.40";"   13.87";"   19.94"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.02";"   22.34";"   30.70"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.02";"   22.66";"   30.61"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.02";"   22.38";"   30.51"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.02";"   22.66";"   30.49"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.02";"   22.81";"   30.25"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.02";"   22.84";"   30.16"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.01";"   17.84";"   25.73"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.01";"   19.39";"   27.09"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.01";"   21.31";"   28.85"
"Total male and female";"40 to 49 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.01";"   21.58";"   29.72"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.06";"   11.64";"   19.22"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.06";"   11.48";"   19.21"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.05";"   11.44";"   19.17"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.05";"   11.98";"   19.21"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.05";"   12.01";"   19.31"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.05";"   12.33";"   19.33"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.04";"    9.87";"   16.80"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.04";"   10.68";"   17.85"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.04";"   11.46";"   18.59"
"Total male and female";"40 to 49 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.05";"   11.97";"   19.11"
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Attending education/courses";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2014*";"    0.12";"   27.90";"   35.01"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2015*";"    0.11";"   28.10";"   34.92"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2016*";"    0.11";"   27.66";"   34.81"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2017*";"    0.11";"   27.78";"   34.71"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2018*";"    0.11";"   28.52";"   34.82"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2019*";"    0.11";"   28.82";"   34.93"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2020*";"    0.08";"   25.38";"   34.56"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2021*";"    0.09";"   28.03";"   37.40"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2022*";"    0.10";"   27.17";"   35.53"
"Total male and female";"40 to 49 years";"Car as passenger";"Leisure";"Value";"2023*";"    0.11";"   27.44";"   34.70"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2014*";"    0.04";"   21.67";"   27.52"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2015*";"    0.04";"   21.89";"   27.39"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2016*";"    0.03";"   21.95";"   27.37"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2017*";"    0.03";"   22.05";"   27.35"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2018*";"    0.03";"   21.77";"   27.20"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2019*";"    0.03";"   22.05";"   27.36"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2020*";"    0.03";"   20.29";"   24.99"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2021*";"    0.03";"   20.77";"   25.84"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2022*";"    0.03";"   20.09";"   26.14"
"Total male and female";"40 to 49 years";"Car as passenger";"Other";"Value";"2023*";"    0.03";"   20.28";"   26.23"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.04";"   41.88";"   42.55"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.04";"   41.81";"   42.45"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.04";"   41.97";"   42.52"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.04";"   41.60";"   42.40"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.04";"   41.61";"   42.55"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.04";"   41.63";"   42.57"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.02";"   39.20";"   41.15"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.01";"   38.28";"   40.38"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.02";"   40.91";"   42.80"
"Total male and female";"40 to 49 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.03";"   42.51";"   43.96"
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Shopping, groceries, funshopping.";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Attending education/courses";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2018*";"    0.01";"   59.89";"   61.50"
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2019*";"    0.01";"   60.09";"   61.60"
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2022*";"    0.01";"   58.40";"   61.96"
"Total male and female";"40 to 49 years";"Train";"Leisure";"Value";"2023*";"    0.01";"   57.49";"   60.59"
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Train";"Other";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.04";"    9.44";"   24.83"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.04";"    9.16";"   24.74"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.05";"    9.16";"   24.67"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.05";"    8.76";"   24.59"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.05";"    8.65";"   24.57"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.04";"    8.54";"   24.39"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.02";"    8.07";"   24.05"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.02";"    8.78";"   25.66"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.03";"    8.93";"   25.97"
"Total male and female";"40 to 49 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.03";"    8.79";"   25.93"
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.01";"    6.51";"   23.36"
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"40 to 49 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2023*";"       .";"       .";"       ."
